question,expected_sources,expected_source_count,expected_answer
What login security is required for remote access and important applications?,Document 9: IT Usage and Security Policies,1,Multi-Factor Authentication (MFA)
What technique should you use to operate a fire extinguisher?,Document 10: Workplace Safety and Emergency Procedures,1,"The PASS method: Pull the pin, Aim at the base, Squeeze the trigger, Sweep side to side"
Where is the primary emergency assembly point during an evacuation?,Document 10: Workplace Safety and Emergency Procedures,1,The parking lot across the street
How often are employees paid?,"Document 5: Compensation, Payroll, and Promotions",1,"Every two weeks (bi-weekly), typically every other Friday"
Explain the process for requesting parental leave.,Document 7: Leave and Time Off Policies,1,"Inform HR as early as possible (at least 30 days' notice if feasible). Primary caregivers are eligible for up to 12 weeks, with 6 weeks fully paid; the remaining 6 weeks are unpaid or can be covered using accrued vacation. Secondary caregivers get 2 weeks of paid leave. Work with HR on any FMLA paperwork."
Walk me through the steps of the annual performance review.,Document 8: Performance Reviews and Career Development,1,"Goals are set at the start of the year. The annual review (year-end, with a mid-year check-in) includes a self-assessment, a manager evaluation against goals, optional 360-degree feedback, a one-on-one review meeting, and a rating/outcome that can influence merit increases or bonuses."
Summarize who is eligible to work remotely and what is expected of them.,Document 3: General Employment Policies,1,"Many roles are eligible for remote or hybrid work; specifics (such as in-office days) are arranged with your manager. You must have a proper workspace and reliable internet, and stay fully engaged during work hours - available online, attending meetings, and meeting the same productivity expectations as in-office staff."
What should a new hire expect on their first day?,Document 2: Onboarding Process and New Hire Orientation,1,"Arrive at the front desk by 9:00 AM for HR orientation. Complete remaining paperwork (tax forms, direct deposit), receive an ID badge and an office tour, get issued equipment and log into systems, get a high-level review of key policies and benefits enrollment, and meet an assigned buddy/mentor who often hosts a welcome lunch."
"For a birth mother, how does paid parental leave coordinate with short-term disability?",Document 6: Employee Benefits and Perks | Document 7: Leave and Time Off Policies,2,"Primary caregivers get up to 12 weeks of parental leave, 6 of them fully paid. For birth mothers, short-term disability (STD) typically covers 6-8 weeks of medical recovery and runs concurrently with that leave. STD is company-paid and replaces a portion of salary (generally up to 13 weeks). Coordinate the overlap and paperwork with HR."
"If I am out sick longer than my paid sick days, what covers my income?",Document 6: Employee Benefits and Perks | Document 7: Leave and Time Off Policies,2,"Full-time employees receive 10 paid sick days per year. If illness keeps you out longer, company-paid Short-Term Disability (STD) replaces a portion of your salary for a short period (generally up to 13 weeks), with Long-Term Disability available beyond that. So sick leave covers the first days and disability insurance covers an extended absence."
How do the remote-work policy and IT equipment support work together for a home office?,Document 3: General Employment Policies | Document 9: IT Usage and Security Policies,2,"Many roles are eligible for remote or hybrid work (arranged with your manager), and you must have a proper workspace and reliable internet. The company supports your home office with a stipend or company-provided equipment, and additional peripherals (e.g., a printer) can be arranged through IT/HR under its reimbursement policy. Personal laptops generally are not allowed for work - the company provides required computer equipment."
How are annual performance reviews connected to pay raises and bonuses?,"Document 5: Compensation, Payroll, and Promotions | Document 8: Performance Reviews and Career Development",2,"Performance is reviewed annually (year-end, with a mid-year check-in) and given a rating. Those ratings drive compensation: the company sets an annual raise budget distributed by performance rating and market benchmarks (merit increases), and the performance-based bonus pays out when both company targets and individual goals are met. Strong reviews also support promotions, which come with a higher compensation package."
Does ABC Inc offer pet insurance as an employee benefit?,NA,0,This is not addressed anywhere in the handbook.
What is the company's sabbatical leave policy?,NA,0,"This is not addressed anywhere in the handbook; the leave policy covers vacation, sick, personal, parental, bereavement, jury, military, and unpaid leave only."
What is the dress code?,Document 3: General Employment Policies,1,"Business casual - e.g., collared shirts, blouses, slacks or neat jeans, and closed-toe shoes. Fridays are casual (jeans and sneakers welcome). Remote staff may dress more casually but should be presentable for video meetings."
